SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
ANDAMAN & NICOBAR ISLANDS,1958.918181818182,52.637272727272716,27.99454545454546,31.742894492368947,71.69413512557485,354.5904128815508,467.1924444395304,399.08207880705316,398.05115449239474,432.87896151293967,286.72376380008404,230.219384785738,149.48283399016958,2844.7250308957537,80.63272727272728,453.89459326648495,1689.179766417217,661.1991042031327
ARUNACHAL PRADESH,1965.8247422680413,47.005745567411424,90.40211674825358,150.92596282639775,263.8360824742269,358.5226804123713,643.0735509708678,690.9640653029684,495.2298969072165,432.13402061855663,192.6413816289613,35.782807488981256,24.385991332774257,3294.6603443147746,137.4097709885369,764.8660155279268,2246.5417478068316,251.40826249839827
ASSAM & MEGHALAYA,1958.0,16.974782608695655,31.44173913043478,79.02695652173912,203.11565217391296,341.5391304347825,510.1617391304347,495.10260869565235,404.5930434782608,310.73478260869564,152.11826086956523,26.938260869565216,8.951304347826083,2580.6956521739135,48.41304347826085,623.6878260869564,1720.5904347826097,188.01565217391303
BIHAR,1958.0,13.386086956521737,14.39391304347826,10.124347826086957,16.91826086956523,53.08173913043478,174.31565217391312,324.44173913043466,299.64347826086953,217.38434782608687,63.074782608695664,7.178260869565217,3.6947826086956534,1197.633913043478,27.776521739130434,80.12695652173912,1015.7860869565218,73.95391304347825
CHHATTISGARH,1958.0,14.206956521739123,19.2591304347826,15.266956521739129,16.77304347826088,21.04869565217391,198.26608695652172,398.5773913043478,389.87304347826057,217.78,63.66,11.772173913043478,5.248695652173914,1371.7286956521748,33.46260869565217,53.09217391304348,1204.500869565218,80.67478260869564
COASTAL ANDHRA PRADESH,1958.0,7.483478260869568,12.923478260869564,13.221739130434786,26.74086956521739,62.5495652173913,123.6939130434783,173.82434782608695,175.92347826086953,181.70782608695654,185.51130434782604,77.90347826086959,11.42,1052.904347826087,20.40434782608695,102.51565217391303,655.1417391304351,274.8356521739131
COASTAL KARNATAKA,1958.0,2.085715826425309,1.5182608695652178,6.357391304347825,30.916521739130427,122.78782608695654,841.3260869565219,1127.0286956521736,713.6182608695652,299.65217391304344,184.5521739130435,63.607826086956536,12.613913043478256,3391.0409469543956,3.69606770337459,160.0513043478261,2981.618260869565,260.77565217391304
EAST MADHYA PRADESH,1958.0,19.401739130434777,18.693913043478258,13.637391304347815,7.188695652173918,9.273043478260872,141.02956521739128,371.37826086956517,369.368695652174,194.2365217391304,39.68608695652175,12.705217391304346,8.404347826086958,1205.0000000000005,38.09478260869567,30.096521739130434,1076.018260869565,60.8
EAST RAJASTHAN,1958.0,6.4226086956521735,5.417391304347828,4.516521739130434,3.144347826086955,9.819999999999995,63.39913043478261,223.3478260869564,218.2773913043478,97.9782608695652,14.360869565217385,4.873913043478261,3.651304347826088,655.215652173913,11.837391304347825,17.487826086956517,602.9982608695651,22.887826086956526
EAST UTTAR PRADESH,1958.0,16.012173913043462,15.87391304347825,8.90782608695652,6.430434782608694,17.21130434782609,110.71217391304346,290.5686956521738,275.61391304347814,184.59130434782608,42.9208695652174,4.590434782608697,5.776521739130434,979.2130434782609,31.88782608695651,32.55391304347825,861.4860869565217,53.293913043478256
GANGETIC WEST BENGAL,1958.0,12.595652173913047,22.452173913043474,29.090434782608703,44.88521739130435,107.78782608695654,247.19652173913056,326.3773913043478,311.38260869565204,245.71043478260867,115.74608695652178,21.57913043478261,5.690434782608697,1490.4878260869566,35.042608695652184,181.7660869565218,1130.6573913043474,143.0182608695652
GUJARAT REGION,1958.0,1.7860869565217385,1.1913043478260863,1.2208695652173904,1.116521739130434,5.8095652173913015,121.28434782608696,348.92086956521734,259.1930434782608,148.84173913043477,20.56521739130434,6.928695652173913,1.3391304347826085,918.2304347826084,2.9773913043478277,8.161739130434785,878.2513043478261,28.834782608695665
HARYANA DELHI & CHANDIGARH,1958.0,16.8895652173913,17.433913043478263,12.935652173913049,7.633913043478262,14.533913043478256,48.62608695652171,150.015652173913,150.84086956521742,88.30695652173911,12.823478260869571,3.264347826086958,7.18608695652174,530.4965217391305,34.331304347826084,35.112173913043485,437.7869565217391,23.270434782608696
HIMACHAL PRADESH,1958.0,84.18956521739132,90.89478260869568,101.1460869565217,62.42869565217389,58.15652173913044,91.22086956521737,280.284347826087,273.93304347826086,130.2191304347826,31.278260869565226,16.695652173913047,39.89304347826084,1260.3452173913047,175.08260869565217,221.72695652173917,775.6643478260877,87.87130434782611
JAMMU & KASHMIR,1958.0,102.03043478260865,115.45043478260877,131.3782608695652,93.70260869565212,67.47652173913045,64.23478260869568,181.29316812511237,180.97304347826088,89.2895652173913,34.166956521739124,24.270140549700788,55.10757025773524,1142.0435556500477,217.4826086956522,292.5521739130436,520.2045632054896,114.30869989085403
JHARKHAND,1958.0,17.62173913043478,24.18608695652173,18.423478260869558,19.366956521739137,48.31739130434781,194.58869565217395,336.9756521739129,325.52434782608697,227.42173913043473,80.01565217391305,11.923478260869564,4.939130434782611,1309.3034782608695,41.80956521739129,86.0956521739131,1084.510434782609,96.88086956521742
KERALA,1958.0,12.246956521739126,15.49652173913043,36.81478260869565,110.57391304347824,229.88173913043477,654.3026086956521,700.9530434782608,421.977391304348,245.61913043478248,294.1226086956522,163.5600000000001,39.95043478260869,2925.4878260869555,27.739130434782627,377.2539130434781,2022.8408695652172,497.6365217391304
KONKAN & GOA,1958.0,1.262608695652174,0.5469565217391305,1.3747826086956518,4.266086956521741,33.51565217391304,688.5695652173914,1073.0304347826088,682.7565217391304,349.7800000000001,113.3869565217391,24.67130434782609,4.516521739130434,2977.6860869565226,1.8130434782608689,39.16173913043476,2794.1304347826085,142.57913043478257
LAKSHADWEEP,1958.3508771929824,27.344865263840532,15.886888812110508,14.579108720706879,45.12767424397571,162.52272661351898,325.91902533638864,283.64686844880515,209.43707889617042,164.070050582661,164.85369321942005,120.36839455520656,59.33931858384393,1573.529806116759,42.45388910231783,221.4395351966476,986.4026234607464,344.7930081113093
MADHYA MAHARASHTRA,1958.0,3.0547826086956533,1.4678260869565212,3.5965217391304365,9.14695652173913,22.943478260869565,147.42608695652174,248.98000000000002,184.39739130434782,157.22173913043477,70.19478260869566,25.945217391304336,5.848695652173915,880.2330434782612,4.526086956521741,35.69217391304349,738.0252173913041,101.98608695652172
MATATHWADA,1958.0,5.000869565217392,4.443478260869566,7.105217391304349,7.594782608695652,15.646956521739131,136.95739130434782,180.64869565217396,166.48434782608697,178.4765217391305,58.58000000000001,22.43652173913044,7.302608695652172,790.6921739130433,9.448695652173916,30.35217391304347,662.5678260869566,88.31913043478256
NAGA MANI MIZO TRIPURA,1958.0,14.02521739130435,36.65217391304347,77.1991304347826,170.7330434782608,290.83913043478265,445.6339130434783,438.68434782608693,411.28173913043474,314.35043478260866,175.00608695652178,46.83391304347827,12.399130434782613,2433.6191304347844,50.66956521739127,538.7695652173912,1609.9417391304344,234.24
NORTH INTERIOR KARNATAKA,1958.0,3.0130434782608697,3.172173913043479,7.123478260869566,24.300869565217404,47.03565217391307,100.99304347826087,138.5313043478261,119.45913043478261,142.94086956521735,95.68869565217393,29.20782608695653,6.327826086956522,717.795652173913,6.184347826086956,78.46086956521744,501.9278260869565,131.22347826086963
ORISSA,1958.0,12.329565217391302,19.719130434782603,21.13478260869566,34.15999999999999,64.88608695652171,210.8608695652175,351.1730434782609,355.3826086956522,241.4034782608695,113.59217391304347,27.961739130434786,5.567826086956521,1458.1695652173905,32.047826086956526,120.18434782608698,1158.8173913043481,147.12260869565216
PUNJAB,1958.0,25.246086956521744,26.786956521739125,23.651304347826088,12.66,14.136521739130433,46.46695652173913,168.96347826086958,158.16782608695652,86.78956521739133,13.836521739130433,4.140000000000001,12.694782608695649,593.5356521739129,52.03043478260869,50.44000000000001,460.3921739130434,30.669565217391295
RAYALSEEMA,1958.0,9.867826086956526,5.68,8.076521739130433,19.808695652173906,50.47565217391303,64.74260869565215,96.0817391304348,107.51130434782611,131.72,135.32782608695652,102.65391304347825,34.26,766.2060869565219,15.545217391304353,78.35826086956524,400.05826086956523,272.24173913043467
SAURASHTRA & KUTCH,1958.0,1.139130434782609,1.6156521739130434,1.2965217391304342,1.183478260869565,4.662608695652175,74.37130434782608,194.97043478260866,118.77043478260866,75.41826086956526,14.510434782608694,6.096521739130437,1.1086956521739129,495.1617391304345,2.752173913043477,7.140869565217392,463.53652173913036,21.71826086956522
SOUTH INTERIOR KARNATAKA,1958.0,2.9286956521739125,4.1634782608695655,9.48521739130435,42.28086956521738,92.09999999999998,141.4173913043478,231.35913043478268,174.2391304347825,137.31391304347827,139.14347826086956,54.43130434782611,11.51739130434783,1040.3913043478262,7.087826086956522,143.86173913043476,684.338260869565,205.0939130434783
SUB HIMALAYAN WEST BENGAL & SIKKIM,1958.0,14.083478260869564,22.97478260869565,43.13565217391307,110.6817391304348,269.1434782608696,537.8817391304345,646.4026086956522,520.7634782608694,421.3417391304348,143.6460869565217,16.08869565217391,6.0600000000000005,2752.2173913043466,37.060869565217374,422.96869565217384,2126.391304347826,165.80173913043478
TAMIL NADU,1958.0,23.81913043478262,13.422608695652169,19.475652173913044,44.995652173913065,69.9208695652174,52.05652173913043,71.31478260869562,95.88782608695651,111.59739130434782,183.19652173913042,176.90347826086952,81.13739130434789,943.7130434782607,37.2391304347826,134.38608695652178,330.84782608695656,441.2347826086956
TELANGANA,1958.0,7.7026086956521755,9.688695652173914,12.614782608695654,18.185217391304345,25.37391304347827,142.12608695652173,247.4991304347826,215.05913043478256,175.50347826086954,74.22695652173914,20.250434782608703,5.141739130434783,953.3782608695655,17.396521739130435,56.17304347826087,780.1869565217391,99.6208695652174
UTTARAKHAND,1958.0,53.797391304347826,63.452173913043474,57.272173913043495,35.16608695652173,55.33826086956525,162.55130434782612,390.6982608695654,382.02347826086935,196.0965217391304,39.07391304347828,8.187826086956521,22.035652173913032,1465.6965217391307,117.25130434782604,147.77391304347822,1131.3678260869565,69.30608695652178
VIDARBHA,1958.0,10.563478260869568,11.982608695652177,11.872173913043472,9.435652173913038,11.551304347826093,173.57826086956527,329.4286956521739,285.94956521739135,175.44956521739132,52.1486956521739,15.574782608695656,7.927826086956523,1095.4591304347832,22.544347826086955,32.85130434782609,964.4034782608697,75.65478260869563
WEST MADHYA PRADESH,1958.0,9.241739130434784,6.442654996353029,5.173043478260869,2.3756521739130423,7.657391304347822,111.78173913043481,302.9826086956522,288.108695652174,161.1686956521738,28.086956521739115,12.340869565217387,6.296521739130434,948.416599128308,15.856937268591974,15.217391304347826,864.0434782608694,46.724347826086934
WEST RAJASTHAN,1958.0,3.3278260869565215,4.930434782608696,3.986086956521739,3.571304347826086,9.443478260869563,28.637391304347823,95.17130434782611,94.55565217391309,40.34260869565217,5.127826086956522,1.6669565217391293,1.9026086956521737,292.67304347826087,8.255652173913042,17.006086956521735,258.7078260869566,8.700869565217394
WEST UTTAR PRADESH,1958.0,17.66608695652173,17.893913043478257,11.461739130434788,6.253043478260872,12.306086956521737,77.59739130434782,246.51999999999984,251.29913043478265,146.2547826086957,28.777391304347823,3.9660869565217385,7.114782608695656,827.1147826086955,35.55478260869565,30.026086956521738,721.6765217391303,39.85826086956523
